id,tc_38,std_38,tc_49,std_49,tc_51,std_51,tc_mean,tc_min,tc_max,formula,e_above_hull,band_gap,is_metal,theoretical,nsites,spacegroup,crystal_system,is_magnetic,magnetization,density,known_parent,chem,supercon_tc_exact,supercon_tc_family,supercon
mp-1195710,0.211,0.152,0.087,0.134,0.697,0.171,0.3316666666666666,0.087,0.697,Zr(Zn10Cu)2,0.0,0.0,True,False,46.0,Fd-3m,Cubic,False,0.0006226,7.325146697380842,False,other,,,none
mp-1196620,0.609,0.268,0.327,0.331,0.059,0.088,0.3316666666666666,0.059,0.609,SrLa2WO7,0.00294439575756833,3.3594059567942276,False,False,44.0,P2_1/c,Monoclinic,False,0.0006486,6.807818194549251,False,other,,,none
mp-1780,0.373,0.72,0.289,0.366,0.333,0.176,0.3316666666666666,0.289,0.373,ScRh,0.0,0.0,True,False,2.0,Pm-3m,Cubic,False,1.8e-06,7.375454746271768,False,other,,0.9,family
mp-19771,0.319,0.252,0.271,0.14,0.404,0.344,0.33133333333333337,0.271,0.404,Dy(CoGe)2,0.0,0.0,True,False,5.0,I4/mmm,Tetragonal,False,4e-07,9.160357952775248,False,other,,,none
mp-18652,0.797,0.674,0.174,0.272,0.023,0.034,0.33133333333333337,0.023,0.797,Sr3HoRhO6,0.0,2.1601999999999997,False,False,22.0,R-3c,Trigonal,False,0.0010457,6.485332458123195,False,other,,,none
mp-622620,0.285,0.172,0.341,0.302,0.368,0.283,0.3313333333333333,0.285,0.368,ErNiSn,0.0,0.0,True,False,12.0,Pnma,Orthorhombic,False,5e-07,9.69894931461851,False,other,,,none
mp-1186438,0.295,0.527,0.514,0.443,0.185,0.14,0.3313333333333333,0.185,0.514,Pm2AgAu,0.0,0.0,True,True,4.0,Fm-3m,Cubic,False,1.5e-05,9.86173029510746,False,other,,,none
mp-31362,0.302,0.24,0.313,0.306,0.379,0.334,0.3313333333333333,0.302,0.379,Na3YCl6,0.0,5.1827,False,False,20.0,P2_1/c,Monoclinic,False,0.0,2.475859760146229,False,other,,,none
mp-867178,0.585,0.138,0.111,0.163,0.298,0.354,0.3313333333333333,0.111,0.585,PrMgCd2,0.0,0.0,True,True,4.0,Fm-3m,Cubic,False,1.33e-05,6.545178368354444,False,other,,,none
mp-12953,0.689,0.599,0.18,0.21,0.125,0.071,0.3313333333333333,0.125,0.689,TmAgTe2,0.014082824999999133,0.6658,False,False,4.0,P-3m1,Trigonal,False,0.0,7.811146242790313,False,other,,,none
mp-28444,0.548,0.364,0.416,0.362,0.03,0.043,0.3313333333333333,0.03,0.548,Fe3(SiO4)2,0.058316079230767315,1.4844999999999997,False,False,26.0,P2_1/c,Monoclinic,True,27.9998221,3.932406348872223,False,other,,,none
mp-675555,0.066,0.012,0.545,0.925,0.383,0.233,0.3313333333333333,0.066,0.545,Na3Nd5Cl18,0.015249832692305176,4.3701,False,True,26.0,P-6,Hexagonal,False,0.0,3.7680123414272857,False,other,,,none
mp-542112,0.445,0.348,0.056,0.047,0.493,0.409,0.3313333333333333,0.056,0.493,CaZrO3,0.1918930845000073,3.2122,False,False,5.0,Pm-3m,Cubic,False,0.0,4.1354963672499165,False,other,,,none
mp-14356,0.526,0.446,0.378,0.604,0.09,0.14,0.3313333333333333,0.09,0.526,Dy3MnB7,0.0,0.0,True,False,22.0,Cmcm,Orthorhombic,True,2.1546537,8.174752096842784,False,other,,,none
mp-862986,0.382,0.19,0.146,0.238,0.465,0.297,0.331,0.146,0.465,PmBr3,0.0,2.8814,False,True,8.0,P6_3/mmc,Hexagonal,False,0.0,3.8107904437034357,False,other,,,none
mp-13067,0.516,0.591,0.328,0.272,0.149,0.187,0.331,0.149,0.516,Tm2O3,0.06832114524999788,4.1535,False,True,5.0,P-3m1,Trigonal,False,0.0,10.070075123152678,False,other,,,none
mp-1077585,0.151,0.247,0.508,0.46,0.334,0.103,0.331,0.151,0.508,Na4NO,0.3454446851724131,0.0,True,True,6.0,P4/mmm,Tetragonal,True,1.0002041,2.13889280672755,False,other,,,none
mp-26963,0.273,0.064,0.72,0.623,0.0,0.0,0.331,0.0,0.72,LiVPO5,0.0,1.5636,False,False,32.0,Pnma,Orthorhombic,True,3.9946684,3.1963451833744623,False,other,,,none
mp-10762,0.645,0.199,0.033,0.034,0.315,0.256,0.331,0.033,0.645,Cd3As2,0.16103511887499966,0.0,True,False,10.0,Pn-3m,Cubic,False,0.0006442,5.945469720624384,False,other,,,none
mp-1047057,0.0,0.0,0.5,0.189,0.493,0.247,0.331,0.0,0.5,Sn3(P2O7)2,0.02830582595237985,2.8991999999999996,False,True,42.0,P2_1/c,Monoclinic,False,0.0012338,3.4013248003847902,False,other,,,none
mp-1186620,0.455,0.097,0.188,0.319,0.35,0.575,0.331,0.188,0.455,PmMg2,0.02001089499999953,0.0,True,True,6.0,Fd-3m,Cubic,False,0.0,3.991108652308496,False,other,,,none
mp-569804,0.397,0.112,0.185,0.169,0.411,0.447,0.331,0.185,0.411,Er5Zr3(Ni4As3)4,0.0,0.0,True,False,36.0,P-62m,Hexagonal,False,0.1342804,8.890695633460183,False,other,,,none
mp-675778,0.456,0.5,0.38,0.327,0.157,0.259,0.331,0.157,0.456,NaY2F7,0.041986264750000224,7.0369,False,True,10.0,C2/m,Monoclinic,False,0.0014727,3.7683255688907615,False,other,,,none
mp-675048,0.468,0.395,0.088,0.107,0.437,0.523,0.331,0.088,0.468,Sr3Nd4O9,0.2582701540624974,3.1139,False,True,32.0,P1,Triclinic,False,0.0009171,5.913557429274735,False,other,,,none
mp-22263,0.13,0.208,0.746,0.262,0.117,0.186,0.331,0.117,0.746,Yb3SnC,2.114613006333336,0.0,True,False,5.0,Pm-3m,Cubic,False,0.001773,6.652833645643812,False,other,,,none
mp-862759,0.613,0.085,0.083,0.062,0.297,0.295,0.33099999999999996,0.083,0.613,PrMgZn2,0.0,0.0,True,True,4.0,Fm-3m,Cubic,False,1.25e-05,5.793847931779247,False,other,,,none
mp-985283,0.216,0.249,0.351,0.087,0.426,0.127,0.33099999999999996,0.216,0.426,Ag3Ge,0.10019832625000191,0.0,True,True,4.0,Fm-3m,Cubic,False,0.0002327,9.01628741488488,False,other,,1.5,family
mp-1224947,0.669,0.552,0.189,0.205,0.134,0.178,0.3306666666666667,0.134,0.669,FeNiPt6,0.0,0.0,True,True,8.0,P4/mmm,Tetragonal,False,5.7127394,18.39680653871982,False,other,,,none
mp-1205998,0.094,0.139,0.338,0.397,0.56,0.501,0.3306666666666667,0.094,0.56,Rb3TmF6,0.0,6.7369,False,True,10.0,Fm-3m,Cubic,False,0.0,4.232628036686905,False,other,,,none
mp-24603,0.725,0.236,0.002,0.002,0.265,0.268,0.33066666666666666,0.002,0.725,CaAl2Si2(H2O5)2,0.02006445710527771,5.0625,False,False,76.0,Pna2_1,Orthorhombic,False,0.0,3.0110249273325627,False,other,,,none
mp-4929,0.648,0.526,0.278,0.514,0.066,0.1,0.33066666666666666,0.066,0.648,KBF4,0.0,7.9399,False,False,24.0,Pnma,Orthorhombic,False,0.0,2.632827043648892,False,other,,,none
mp-18525,0.992,0.323,0.0,0.0,0.0,0.0,0.33066666666666666,0.0,0.992,TbMn2O5,0.0,1.1663000000000001,False,False,32.0,Pbam,Orthorhombic,True,27.9999999,6.601105127293022,False,other,,,none
